name,radius,x,y
House1,15,0,600
House20,15,-519,-299
House12,15,300,-519
House18,15,684,145
House17,15,317,623
House24,15,-216,665
House15,15,-593,370
House7,15,-698,-48
House11,15,-566,-411
House2,15,-305,-685
House9,15,41,-798
House14,15,772,-207
House23,15,565,565
House16,15,-83,795
House3,15,-621,503
House21,15,-899,-15
House22,15,-554,-709
House25,15,109,-893
House19,15,658,-613
House8,15,893,-109
House6,15,815,380
House4,15,516,737
House13,15,139,990
House10,15,-927,-374
House5,15,374,-927
